Trekking Pole,Point Score,"Avg Deflection, Handle Clamped, Tip Weighted","Avg Deflection, Tip Clamped, Handle Weighted",Avg of either end weighted,"Deflection, Middle Weighted",Strength score (middle deflection x average of either end deflection,Modified score for well-used pairs is a 5% decrease,List weight (g),Strength score x weight,Configuration,material,,,,,
Freevane Kodiak Telescoping,9,9.5,11.75,10.625,4,43,43,209,8883,Telescope,Carbon,,,,,
Black Diamond Alpine Carbon Cork,9,11.3,14.0,12.6,3.5,44,44,243,10738,Telescope,Carbon,,,,,
GrassSticks,9,10.8,16.8,13.8,4.5,62,62,313,19367,Fixed,bamboo,,tele,z,alum,carb
Durston Iceline w/ wrist straps,8,13.8,15.3,14.5,5.0,73,69,145,9987,Other,Carbon,,12.6,16.4,19.3,12.6
CMT Carbon UL,8,14.3,14.0,14.1,5.0,71,71,159,11229,Telescope,Carbon,,14.1,19.5,21.0,21.1
TrailBuddy Trekking Poles Lightweight,8,13.0,17.5,15.3,5.0,76,76,275,20969,Telescope,Aluminum,,17.4,17.1,15.8,14.5
CMT Carbon 3K,7,14.8,14.5,14.6,5.5,80,80,227,18259,Telescope,Carbon,,16.6,15.8,25.4,18.0
Diorite Gear Carbon,7,13.0,21.5,17.3,5.0,86,86,277,23891,Telescope,Carbon,,14.6,17.9,21.5,14.6
CMT Carbon - New,7,12.3,16.8,14.5,6.0,87,87,230,20010,Telescope,Carbon,,14.5,16.9,22.5,14.1
Komperdell Carbon Ultra Zero,6,11.3,22.0,16.6,5.5,91,91,187,17099,Telescope,Carbon,,15.3,19.3,15.3,17.3
Leki Black Series FX,6,14.8,18.0,16.4,6.0,98,93,228,21281,Z-Pole,Carbon,,18.0,21.5,20.1,14.5
CMT Carbon - Old Pair,6,13.8,22.3,18.0,5.5,99,94,230,21632,Telescope,Carbon,,17.3,21.1,,17.4
CMT Folding Aluminum,6,17.8,13.8,15.8,6.0,95,95,297,28067,Z-Pole,Aluminum,,20.6,24.0,,17.1
Black Diamond Pursuit Carbon FLZ,6,13.5,16.25,14.875,6.5,97,97,251,24269,Z-Pole,Carbon,,24.6,18.9,,16.6
Freevane Panther,6,15,18.5,16.8,6,101,101,214,21507,Z-Pole,Carbon,,25.4,,,24.0
Komperdell Carbon FXP Team,6,16.0,18.3,17.1,6.0,103,103,225,23119,Z-Pole,Carbon,,21.0,,,16.4
Gossamer Gear LT5,6,15.3,19.5,17.4,6.0,104,104,139,14491,Telescope,Carbon,,22.5,,,21.5
Leki Makalu FX Carbon,5,17,18.5,17.8,6.5,115,115,252,29075,Z-Pole,Carbon,,21.5,,,17.9
MSR Dynalock Ascent Carbon,5,13.8,20.0,16.9,7.0,118,118,250,29531,Z-Pole,Carbon,,26.1,,,16.9
Leki SkyTera Carbon Lite,5,19.5,23.25,21.4,6,128,128,196,25137,Telescope,Carbon,,18.9,,,20.6
Black Diamond Distance FLZ Aluminum,4,16.5,22.0,19.3,7.0,135,135,223,30049,Z-Pole,Aluminum,,,,,19.5
REI Co-op Swiftland TT,4,17.0,22.0,19.5,7.0,137,137,167,22796,Z-Pole,Carbon,,,,,33.4
Paria Tri-Fold Carbon,4,15.5,18.25,16.875,8.5,143,143,255,36577,Z-Pole,Carbon,,,,,26.1
REI Co-op Flash,4,15.0,26.3,20.6,7.0,144,144,193,27864,Telescope,Carbon,,,,,24.6
Black Diamond Pursuit,4,16.5,25.5,21.0,7.0,147,147,267,39249,Telescope,Aluminum,,,,,23.5
Leki UltraTrail FX.One,4,16.3,19.5,17.9,8.5,152,152,185,28108,Z-Pole,Carbon,,,,,19.2
Montem Ultra Strong,4,17.3,25.8,21.5,7.5,161,161,272,43860,Telescope,Aluminum,,,,,
Leki Skyterra FX,3,20.3,22.8,21.5,8.0,172,172,178,30616,Z-Pole,Carbon,,,,,
REI Trailmade,3,17.3,27.8,22.5,8.0,180,180,241,43380,Telescope,Aluminum,,,,,
Komperdell FX L Carbon Vario Summit,2,20.5,27.5,24.0,8.0,192,192,236,45312,Z-Pole,Carbon,,,,,
Zpacks Minimalist,2,19.3,30.0,24.6,8.0,197,197,166,32702,Telescope,Carbon,,,,,
Black Diamond Distance FLZ Carbon,1,19.3,23.0,21.1,10.0,211,211,182,38448,Z-Pole,Carbon,,,,,
Fizan aluminum ultralight poles,1,23.3,27.5,25.4,8.5,216,216,158,34079,Telescope,Aluminum,,,,,
Gossamer Gear FT3,1,18.3,29.2,23.7,11,261,261,178,46441,Z-Pole,Carbon,,,,,
Zpacks Carbon,1,22.5,29.8,26.1,10.0,261,261,205,53556,Telescope,Carbon,,,,,
Leki Hemp.one vario,0,18.8,28.3,23.5,13.5,317,317,335,106279,Other,hemp,,,,,
Ruta Locurra Yana (w/ straps),0,31.0,35.8,33.4,13.0,434,434,114,49462,Other,Carbon,,,,,
